,Property,Image1,Image2,contrast11,contrast12,contrast13,contrast14,contrast_avg1,contrast21,contrast22,contrast23,contrast24,contrast_avg2,dissimilarity11,dissimilarity12,dissimilarity13,dissimilarity14,dissimilarity_avg1,dissimilarity21,dissimilarity22,dissimilarity23,dissimilarity24,dissimilarity_avg2,homogeneity11,homogeneity12,homogeneity13,homogeneity14,homogeneity_avg1,homogeneity21,homogeneity22,homogeneity23,homogeneity24,homogeneity_avg_2,energy_feature11,energy_feature12,energy_feature13,energy_feature14,energy_feature_avg1,energy_feature21,energy_feature22,energy_feature23,energy_feature24,energy_feature_avg2,correlation_feature11,correlation_feature12,correlation_feature13,correlation_feature14,correlation_feature_avg1,correlation_feature21,correlation_feature22,correlation_feature23,correlation_feature24,correlation_feature_avg2,asm_feature11,asm_feature12,asm_feature13,asm_feature14,asm_feature_avg1,asm_feature21,asm_feature22,asm_feature23,asm_feature24,asm_feature_avg2,PIQ_DISTS,Cosine similarity,td_b7,vents_count_1,vents_count_2,common_vents_count,similarity_ratio,label
12,20401,2019-01-11_1.jpeg,2019-02-11_2.jpeg,0.95,2.37,1.64,2.43,1.85,0.95,2.37,1.64,2.43,1.85,0.22,0.42,0.32,0.42,0.35,0.22,0.42,0.32,0.42,0.35,0.92,0.88,0.91,0.89,0.90,0.92,0.88,0.91,0.89,0.90,0.47,0.45,0.46,0.45,0.46,0.47,0.45,0.46,0.45,0.46,0.98,0.96,0.97,0.96,0.97,0.98,0.96,0.97,0.96,0.97,0.22,0.20,0.21,0.20,0.21,0.22,0.20,0.21,0.20,0.21,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
13,20401,2019-02-11_2.jpeg,2019-03-11_3.jpeg,0.95,2.37,1.64,2.43,1.85,0.95,2.37,1.64,2.43,1.85,0.22,0.42,0.32,0.42,0.35,0.22,0.42,0.32,0.42,0.35,0.92,0.88,0.91,0.89,0.90,0.92,0.88,0.91,0.89,0.90,0.47,0.45,0.46,0.45,0.46,0.47,0.45,0.46,0.45,0.46,0.98,0.96,0.97,0.96,0.97,0.98,0.96,0.97,0.96,0.97,0.22,0.20,0.21,0.20,0.21,0.22,0.20,0.21,0.20,0.21,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
14,20401,2019-03-11_3.jpeg,2019-04-11_4.jpeg,0.95,2.37,1.64,2.43,1.85,1.46,3.51,2.34,3.52,2.71,0.22,0.42,0.32,0.42,0.35,0.39,0.64,0.43,0.63,0.52,0.92,0.88,0.91,0.89,0.90,0.86,0.81,0.87,0.81,0.84,0.47,0.45,0.46,0.45,0.46,0.40,0.37,0.40,0.37,0.39,0.98,0.96,0.97,0.96,0.97,0.98,0.95,0.97,0.95,0.96,0.22,0.20,0.21,0.20,0.21,0.16,0.14,0.16,0.14,0.15,0.20,0.64,3.86,3.00,2.00,2.00,0.67,N
15,20401,2019-04-11_4.jpeg,2019-05-11_5.jpeg,1.46,3.51,2.34,3.52,2.71,1.32,3.06,1.95,3.02,2.34,0.39,0.64,0.43,0.63,0.52,0.26,0.46,0.32,0.45,0.37,0.86,0.81,0.87,0.81,0.84,0.92,0.88,0.91,0.88,0.90,0.40,0.37,0.40,0.37,0.39,0.45,0.43,0.44,0.43,0.44,0.98,0.95,0.97,0.95,0.96,0.98,0.95,0.97,0.95,0.96,0.16,0.14,0.16,0.14,0.15,0.20,0.18,0.20,0.18,0.19,0.14,0.69,4.21,2.00,3.00,2.00,0.67,N
16,20401,2019-05-11_5.jpeg,2019-06-11_6.jpeg,1.32,3.06,1.95,3.02,2.34,1.32,3.06,1.95,3.02,2.34,0.26,0.46,0.32,0.45,0.37,0.26,0.46,0.32,0.45,0.37,0.92,0.88,0.91,0.88,0.90,0.92,0.88,0.91,0.88,0.90,0.45,0.43,0.44,0.43,0.44,0.45,0.43,0.44,0.43,0.44,0.98,0.95,0.97,0.95,0.96,0.98,0.95,0.97,0.95,0.96,0.20,0.18,0.20,0.18,0.19,0.20,0.18,0.20,0.18,0.19,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
17,20401,2019-06-11_6.jpeg,2019-07-11_7.jpeg,1.32,3.06,1.95,3.02,2.34,1.32,3.06,1.95,3.02,2.34,0.26,0.46,0.32,0.45,0.37,0.26,0.46,0.32,0.45,0.37,0.92,0.88,0.91,0.88,0.90,0.92,0.88,0.91,0.88,0.90,0.45,0.43,0.44,0.43,0.44,0.45,0.43,0.44,0.43,0.44,0.98,0.95,0.97,0.95,0.96,0.98,0.95,0.97,0.95,0.96,0.20,0.18,0.20,0.18,0.19,0.20,0.18,0.20,0.18,0.19,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
18,20401,2019-07-11_7.jpeg,2019-08-11_8.jpeg,1.32,3.06,1.95,3.02,2.34,1.32,3.06,1.95,3.02,2.34,0.26,0.46,0.32,0.45,0.37,0.26,0.46,0.32,0.45,0.37,0.92,0.88,0.91,0.88,0.90,0.92,0.88,0.91,0.88,0.90,0.45,0.43,0.44,0.43,0.44,0.45,0.43,0.44,0.43,0.44,0.98,0.95,0.97,0.95,0.96,0.98,0.95,0.97,0.95,0.96,0.20,0.18,0.20,0.18,0.19,0.20,0.18,0.20,0.18,0.19,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
19,20401,2019-08-11_8.jpeg,2019-09-11_9.jpeg,1.32,3.06,1.95,3.02,2.34,0.66,1.38,0.93,1.29,1.07,0.26,0.46,0.32,0.45,0.37,0.35,0.54,0.40,0.50,0.45,0.92,0.88,0.91,0.88,0.90,0.84,0.79,0.84,0.80,0.82,0.45,0.43,0.44,0.43,0.44,0.34,0.32,0.33,0.32,0.33,0.98,0.95,0.97,0.95,0.96,0.97,0.94,0.96,0.94,0.95,0.20,0.18,0.20,0.18,0.19,0.12,0.10,0.11,0.10,0.11,0.20,0.71,4.11,3.00,4.00,1.00,0.25,Y
20,20401,2019-09-11_9.jpeg,2019-10-11_10.jpeg,0.66,1.38,0.93,1.29,1.07,0.66,1.38,0.93,1.29,1.07,0.35,0.54,0.40,0.50,0.45,0.35,0.54,0.40,0.50,0.45,0.84,0.79,0.84,0.80,0.82,0.84,0.79,0.84,0.80,0.82,0.34,0.32,0.33,0.32,0.33,0.34,0.32,0.33,0.32,0.33,0.97,0.94,0.96,0.94,0.95,0.97,0.94,0.96,0.94,0.95,0.12,0.10,0.11,0.10,0.11,0.12,0.10,0.11,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
21,20401,2019-10-11_10.jpeg,2019-11-11_11.jpeg,0.66,1.38,0.93,1.29,1.07,0.66,1.38,0.93,1.29,1.07,0.35,0.54,0.40,0.50,0.45,0.35,0.54,0.40,0.50,0.45,0.84,0.79,0.84,0.80,0.82,0.84,0.79,0.84,0.80,0.82,0.34,0.32,0.33,0.32,0.33,0.34,0.32,0.33,0.32,0.33,0.97,0.94,0.96,0.94,0.95,0.97,0.94,0.96,0.94,0.95,0.12,0.10,0.11,0.10,0.11,0.12,0.10,0.11,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
22,20401,2019-11-11_11.jpeg,2019-12-11_12.jpeg,0.66,1.38,0.93,1.29,1.07,0.66,1.38,0.93,1.29,1.07,0.35,0.54,0.40,0.50,0.45,0.35,0.54,0.40,0.50,0.45,0.84,0.79,0.84,0.80,0.82,0.84,0.79,0.84,0.80,0.82,0.34,0.32,0.33,0.32,0.33,0.34,0.32,0.33,0.32,0.33,0.97,0.94,0.96,0.94,0.95,0.97,0.94,0.96,0.94,0.95,0.12,0.10,0.11,0.10,0.11,0.12,0.10,0.11,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
23,20401,2019-12-11_12.jpeg,2020-01-11_13.jpeg,0.66,1.38,0.93,1.29,1.07,0.66,1.38,0.93,1.29,1.07,0.35,0.54,0.40,0.50,0.45,0.35,0.54,0.40,0.50,0.45,0.84,0.79,0.84,0.80,0.82,0.84,0.79,0.84,0.80,0.82,0.34,0.32,0.33,0.32,0.33,0.34,0.32,0.33,0.32,0.33,0.97,0.94,0.96,0.94,0.95,0.97,0.94,0.96,0.94,0.95,0.12,0.10,0.11,0.10,0.11,0.12,0.10,0.11,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
24,20402,2019-01-11_1.jpeg,2019-02-11_2.jpeg,1.44,2.07,1.05,2.42,1.75,1.44,2.07,1.05,2.42,1.75,0.45,0.61,0.37,0.63,0.51,0.45,0.61,0.37,0.63,0.51,0.84,0.79,0.86,0.79,0.82,0.84,0.79,0.86,0.79,0.82,0.38,0.36,0.39,0.36,0.37,0.38,0.36,0.39,0.36,0.37,0.96,0.95,0.97,0.94,0.96,0.96,0.95,0.97,0.94,0.96,0.14,0.13,0.15,0.13,0.14,0.14,0.13,0.15,0.13,0.14,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
25,20402,2019-02-11_2.jpeg,2019-03-11_3.jpeg,1.44,2.07,1.05,2.42,1.75,1.44,2.07,1.05,2.42,1.75,0.45,0.61,0.37,0.63,0.51,0.45,0.61,0.37,0.63,0.51,0.84,0.79,0.86,0.79,0.82,0.84,0.79,0.86,0.79,0.82,0.38,0.36,0.39,0.36,0.37,0.38,0.36,0.39,0.36,0.37,0.96,0.95,0.97,0.94,0.96,0.96,0.95,0.97,0.94,0.96,0.14,0.13,0.15,0.13,0.14,0.14,0.13,0.15,0.13,0.14,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
26,20402,2019-03-11_3.jpeg,2019-04-11_4.jpeg,1.44,2.07,1.05,2.42,1.75,1.51,2.60,1.56,2.93,2.15,0.45,0.61,0.37,0.63,0.51,0.47,0.69,0.48,0.70,0.59,0.84,0.79,0.86,0.79,0.82,0.83,0.76,0.82,0.77,0.80,0.38,0.36,0.39,0.36,0.37,0.34,0.32,0.34,0.32,0.33,0.96,0.95,0.97,0.94,0.96,0.97,0.95,0.97,0.94,0.95,0.14,0.13,0.15,0.13,0.14,0.11,0.10,0.11,0.10,0.11,0.15,0.85,5.10,4.00,3.00,3.00,0.75,N
27,20402,2019-04-11_4.jpeg,2019-05-11_5.jpeg,1.51,2.60,1.56,2.93,2.15,1.55,2.68,1.61,3.07,2.23,0.47,0.69,0.48,0.70,0.59,0.45,0.70,0.52,0.74,0.60,0.83,0.76,0.82,0.77,0.80,0.83,0.77,0.81,0.76,0.79,0.34,0.32,0.34,0.32,0.33,0.33,0.31,0.33,0.31,0.32,0.97,0.95,0.97,0.94,0.95,0.97,0.95,0.97,0.94,0.96,0.11,0.10,0.11,0.10,0.11,0.11,0.10,0.11,0.10,0.10,0.13,0.94,6.25,3.00,3.00,3.00,1.00,N
28,20402,2019-05-11_5.jpeg,2019-06-11_6.jpeg,1.55,2.68,1.61,3.07,2.23,1.55,2.68,1.61,3.07,2.23,0.45,0.70,0.52,0.74,0.60,0.45,0.70,0.52,0.74,0.60,0.83,0.77,0.81,0.76,0.79,0.83,0.77,0.81,0.76,0.79,0.33,0.31,0.33,0.31,0.32,0.33,0.31,0.33,0.31,0.32,0.97,0.95,0.97,0.94,0.96,0.97,0.95,0.97,0.94,0.96,0.11,0.10,0.11,0.10,0.10,0.11,0.10,0.11,0.10,0.10,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
29,20402,2019-06-11_6.jpeg,2019-07-11_7.jpeg,1.55,2.68,1.61,3.07,2.23,1.55,2.68,1.61,3.07,2.23,0.45,0.70,0.52,0.74,0.60,0.45,0.70,0.52,0.74,0.60,0.83,0.77,0.81,0.76,0.79,0.83,0.77,0.81,0.76,0.79,0.33,0.31,0.33,0.31,0.32,0.33,0.31,0.33,0.31,0.32,0.97,0.95,0.97,0.94,0.96,0.97,0.95,0.97,0.94,0.96,0.11,0.10,0.11,0.10,0.10,0.11,0.10,0.11,0.10,0.10,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
30,20402,2019-07-11_7.jpeg,2019-08-11_8.jpeg,1.55,2.68,1.61,3.07,2.23,1.55,2.68,1.61,3.07,2.23,0.45,0.70,0.52,0.74,0.60,0.45,0.70,0.52,0.74,0.60,0.83,0.77,0.81,0.76,0.79,0.83,0.77,0.81,0.76,0.79,0.33,0.31,0.33,0.31,0.32,0.33,0.31,0.33,0.31,0.32,0.97,0.95,0.97,0.94,0.96,0.97,0.95,0.97,0.94,0.96,0.11,0.10,0.11,0.10,0.10,0.11,0.10,0.11,0.10,0.10,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
31,20402,2019-08-11_8.jpeg,2019-09-11_9.jpeg,1.55,2.68,1.61,3.07,2.23,1.56,2.36,1.32,2.72,1.99,0.45,0.70,0.52,0.74,0.60,0.47,0.67,0.49,0.70,0.58,0.83,0.77,0.81,0.76,0.79,0.83,0.77,0.81,0.77,0.79,0.33,0.31,0.33,0.31,0.32,0.34,0.32,0.34,0.32,0.33,0.97,0.95,0.97,0.94,0.96,0.97,0.96,0.98,0.95,0.97,0.11,0.10,0.11,0.10,0.10,0.12,0.11,0.11,0.11,0.11,0.17,0.59,3.17,3.00,4.00,3.00,0.75,Y
32,20402,2019-09-11_9.jpeg,2019-10-11_10.jpeg,1.56,2.36,1.32,2.72,1.99,1.56,2.36,1.32,2.72,1.99,0.47,0.67,0.49,0.70,0.58,0.47,0.67,0.49,0.70,0.58,0.83,0.77,0.81,0.77,0.79,0.83,0.77,0.81,0.77,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.96,0.98,0.95,0.97,0.97,0.96,0.98,0.95,0.97,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
33,20402,2019-10-11_10.jpeg,2019-11-11_11.jpeg,1.56,2.36,1.32,2.72,1.99,1.56,2.36,1.32,2.72,1.99,0.47,0.67,0.49,0.70,0.58,0.47,0.67,0.49,0.70,0.58,0.83,0.77,0.81,0.77,0.79,0.83,0.77,0.81,0.77,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.96,0.98,0.95,0.97,0.97,0.96,0.98,0.95,0.97,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
34,20402,2019-11-11_11.jpeg,2019-12-11_12.jpeg,1.56,2.36,1.32,2.72,1.99,1.56,2.36,1.32,2.72,1.99,0.47,0.67,0.49,0.70,0.58,0.47,0.67,0.49,0.70,0.58,0.83,0.77,0.81,0.77,0.79,0.83,0.77,0.81,0.77,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.96,0.98,0.95,0.97,0.97,0.96,0.98,0.95,0.97,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
35,20402,2019-12-11_12.jpeg,2020-01-11_13.jpeg,1.56,2.36,1.32,2.72,1.99,1.56,2.36,1.32,2.72,1.99,0.47,0.67,0.49,0.70,0.58,0.47,0.67,0.49,0.70,0.58,0.83,0.77,0.81,0.77,0.79,0.83,0.77,0.81,0.77,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.96,0.98,0.95,0.97,0.97,0.96,0.98,0.95,0.97,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
36,20403,2019-01-18_1.jpeg,2019-02-18_2.jpeg,1.15,1.53,0.96,1.70,1.33,1.15,1.53,0.96,1.70,1.33,0.25,0.27,0.24,0.32,0.27,0.25,0.27,0.24,0.32,0.27,0.92,0.92,0.92,0.91,0.92,0.92,0.92,0.92,0.91,0.92,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.40,0.39,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
37,20403,2019-02-18_2.jpeg,2019-03-18_3.jpeg,1.15,1.53,0.96,1.70,1.33,1.15,1.53,0.96,1.70,1.33,0.25,0.27,0.24,0.32,0.27,0.25,0.27,0.24,0.32,0.27,0.92,0.92,0.92,0.91,0.92,0.92,0.92,0.92,0.91,0.92,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.40,0.39,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.00,1.00,7.00,3.00,3.00,3.00,1.00,N
38,20403,2019-03-18_3.jpeg,2019-04-18_4.jpeg,1.15,1.53,0.96,1.70,1.33,1.50,2.07,1.24,2.16,1.74,0.25,0.27,0.24,0.32,0.27,0.27,0.30,0.25,0.34,0.29,0.92,0.92,0.92,0.91,0.92,0.93,0.93,0.93,0.92,0.93,0.63,0.63,0.63,0.63,0.63,0.67,0.66,0.67,0.66,0.66,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.99,0.97,0.98,0.40,0.39,0.40,0.39,0.39,0.45,0.44,0.45,0.44,0.44,0.16,0.59,4.03,3.00,4.00,2.00,0.50,N
39,20403,2019-04-18_4.jpeg,2019-05-18_5.jpeg,1.50,2.07,1.24,2.16,1.74,1.50,2.07,1.24,2.16,1.74,0.27,0.30,0.25,0.34,0.29,0.27,0.30,0.25,0.34,0.29,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.92,0.93,0.67,0.66,0.67,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.98,0.98,0.99,0.97,0.98,0.98,0.98,0.99,0.97,0.98,0.45,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
40,20403,2019-05-18_5.jpeg,2019-06-18_6.jpeg,1.50,2.07,1.24,2.16,1.74,1.50,2.07,1.24,2.16,1.74,0.27,0.30,0.25,0.34,0.29,0.27,0.30,0.25,0.34,0.29,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.92,0.93,0.67,0.66,0.67,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.98,0.98,0.99,0.97,0.98,0.98,0.98,0.99,0.97,0.98,0.45,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
41,20403,2019-06-18_6.jpeg,2019-07-18_7.jpeg,1.50,2.07,1.24,2.16,1.74,1.50,2.07,1.24,2.16,1.74,0.27,0.30,0.25,0.34,0.29,0.27,0.30,0.25,0.34,0.29,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.92,0.93,0.67,0.66,0.67,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.98,0.98,0.99,0.97,0.98,0.98,0.98,0.99,0.97,0.98,0.45,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
