,Property,Image1,Image2,contrast11,contrast12,contrast13,contrast14,contrast_avg1,contrast21,contrast22,contrast23,contrast24,contrast_avg2,dissimilarity11,dissimilarity12,dissimilarity13,dissimilarity14,dissimilarity_avg1,dissimilarity21,dissimilarity22,dissimilarity23,dissimilarity24,dissimilarity_avg2,homogeneity11,homogeneity12,homogeneity13,homogeneity14,homogeneity_avg1,homogeneity21,homogeneity22,homogeneity23,homogeneity24,homogeneity_avg_2,energy_feature11,energy_feature12,energy_feature13,energy_feature14,energy_feature_avg1,energy_feature21,energy_feature22,energy_feature23,energy_feature24,energy_feature_avg2,correlation_feature11,correlation_feature12,correlation_feature13,correlation_feature14,correlation_feature_avg1,correlation_feature21,correlation_feature22,correlation_feature23,correlation_feature24,correlation_feature_avg2,asm_feature11,asm_feature12,asm_feature13,asm_feature14,asm_feature_avg1,asm_feature21,asm_feature22,asm_feature23,asm_feature24,asm_feature_avg2,ALEX_net,Cosine similarity,td_b7,vents_count_1,vents_count_2,common_vents_count,similarity_ratio,label
94,20009,2019-05-16_11.jpeg,2019-06-16_12.jpeg,2.04,4.16,2.24,3.74,3.04,2.04,4.16,2.24,3.74,3.04,0.51,0.82,0.52,0.78,0.66,0.51,0.82,0.52,0.78,0.66,0.83,0.76,0.82,0.76,0.79,0.83,0.76,0.82,0.76,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.12,0.10,0.12,0.10,0.11,0.12,0.10,0.12,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
95,20009,2019-06-16_12.jpeg,2019-07-16_13.jpeg,2.04,4.16,2.24,3.74,3.04,2.04,4.16,2.24,3.74,3.04,0.51,0.82,0.52,0.78,0.66,0.51,0.82,0.52,0.78,0.66,0.83,0.76,0.82,0.76,0.79,0.83,0.76,0.82,0.76,0.79,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.34,0.32,0.33,0.97,0.94,0.97,0.94,0.95,0.97,0.94,0.97,0.94,0.95,0.12,0.10,0.12,0.10,0.11,0.12,0.10,0.12,0.10,0.11,0.00,1.00,7.00,4.00,4.00,4.00,1.00,N
96,20010,2018-07-25_1.jpeg,2018-08-25_2.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
97,20010,2018-08-25_2.jpeg,2018-09-25_3.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
98,20010,2018-09-25_3.jpeg,2018-10-25_4.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
99,20010,2018-10-25_4.jpeg,2018-11-25_5.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
100,20010,2018-11-25_5.jpeg,2018-12-25_6.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
101,20010,2018-12-25_6.jpeg,2019-01-25_7.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
102,20010,2019-01-25_7.jpeg,2019-02-25_8.jpeg,0.87,1.53,0.92,1.04,1.09,0.87,1.53,0.92,1.04,1.09,0.33,0.45,0.35,0.33,0.37,0.33,0.45,0.35,0.33,0.37,0.87,0.85,0.87,0.88,0.87,0.87,0.85,0.87,0.88,0.87,0.64,0.63,0.64,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
103,20010,2019-02-25_8.jpeg,2019-03-25_9.jpeg,0.87,1.53,0.92,1.04,1.09,1.70,2.94,1.63,2.05,2.08,0.33,0.45,0.35,0.33,0.37,0.28,0.37,0.28,0.31,0.31,0.87,0.85,0.87,0.88,0.87,0.93,0.93,0.93,0.93,0.93,0.64,0.63,0.64,0.64,0.64,0.68,0.67,0.68,0.67,0.67,0.97,0.95,0.97,0.97,0.97,0.98,0.97,0.98,0.98,0.98,0.41,0.40,0.41,0.40,0.41,0.46,0.45,0.46,0.45,0.46,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
104,20010,2019-03-25_9.jpeg,2019-04-25_10.jpeg,1.70,2.94,1.63,2.05,2.08,1.86,2.85,1.73,2.57,2.25,0.28,0.37,0.28,0.31,0.31,0.30,0.35,0.29,0.36,0.32,0.93,0.93,0.93,0.93,0.93,0.94,0.93,0.94,0.93,0.93,0.68,0.67,0.68,0.67,0.67,0.68,0.68,0.68,0.68,0.68,0.98,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.46,0.45,0.46,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
105,20010,2019-04-25_10.jpeg,2019-05-25_11.jpeg,1.86,2.85,1.73,2.57,2.25,1.86,2.85,1.73,2.57,2.25,0.30,0.35,0.29,0.36,0.32,0.30,0.35,0.29,0.36,0.32,0.94,0.93,0.94,0.93,0.93,0.94,0.93,0.94,0.93,0.93,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.98,0.97,0.98,0.97,0.97,0.98,0.97,0.98,0.97,0.97,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
106,20010,2019-05-25_11.jpeg,2019-06-25_12.jpeg,1.86,2.85,1.73,2.57,2.25,1.86,2.85,1.73,2.57,2.25,0.30,0.35,0.29,0.36,0.32,0.30,0.35,0.29,0.36,0.32,0.94,0.93,0.94,0.93,0.93,0.94,0.93,0.94,0.93,0.93,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.98,0.97,0.98,0.97,0.97,0.98,0.97,0.98,0.97,0.97,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
107,20010,2019-06-25_12.jpeg,2019-07-25_13.jpeg,1.86,2.85,1.73,2.57,2.25,1.86,2.85,1.73,2.57,2.25,0.30,0.35,0.29,0.36,0.32,0.30,0.35,0.29,0.36,0.32,0.94,0.93,0.94,0.93,0.93,0.94,0.93,0.94,0.93,0.93,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.98,0.97,0.98,0.97,0.97,0.98,0.97,0.98,0.97,0.97,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
192,20017,2019-07-15_11.jpeg,2019-08-15_12.jpeg,1.07,1.21,1.10,1.81,1.30,1.07,1.21,1.10,1.81,1.30,0.43,0.44,0.43,0.56,0.46,0.43,0.44,0.43,0.56,0.46,0.84,0.84,0.84,0.81,0.83,0.84,0.84,0.84,0.81,0.83,0.67,0.67,0.67,0.66,0.67,0.67,0.67,0.67,0.66,0.67,0.96,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.94,0.96,0.45,0.44,0.45,0.44,0.45,0.45,0.44,0.45,0.44,0.45,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
193,20017,2019-08-15_12.jpeg,2019-09-15_13.jpeg,1.07,1.21,1.10,1.81,1.30,0.83,0.98,0.90,1.51,1.06,0.43,0.44,0.43,0.56,0.46,0.31,0.32,0.31,0.40,0.33,0.84,0.84,0.84,0.81,0.83,0.88,0.88,0.89,0.87,0.88,0.67,0.67,0.67,0.66,0.67,0.68,0.67,0.67,0.67,0.67,0.96,0.96,0.96,0.94,0.96,0.98,0.98,0.98,0.96,0.97,0.45,0.44,0.45,0.44,0.45,0.46,0.45,0.46,0.45,0.45,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
194,20018,2018-09-27_1.jpeg,2018-10-27_2.jpeg,0.67,0.94,0.57,0.79,0.74,0.67,0.94,0.57,0.79,0.74,0.23,0.28,0.22,0.26,0.25,0.23,0.28,0.22,0.26,0.25,0.92,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.64,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.96,0.97,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
195,20018,2018-10-27_2.jpeg,2018-11-27_3.jpeg,0.67,0.94,0.57,0.79,0.74,0.67,0.94,0.57,0.79,0.74,0.23,0.28,0.22,0.26,0.25,0.23,0.28,0.22,0.26,0.25,0.92,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.64,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.96,0.97,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
196,20018,2018-11-27_3.jpeg,2018-12-27_4.jpeg,0.67,0.94,0.57,0.79,0.74,0.67,0.94,0.57,0.79,0.74,0.23,0.28,0.22,0.26,0.25,0.23,0.28,0.22,0.26,0.25,0.92,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.64,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.96,0.97,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
197,20018,2018-12-27_4.jpeg,2019-01-27_5.jpeg,0.67,0.94,0.57,0.79,0.74,0.67,0.94,0.57,0.79,0.74,0.23,0.28,0.22,0.26,0.25,0.23,0.28,0.22,0.26,0.25,0.92,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.64,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.96,0.97,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
198,20018,2019-01-27_5.jpeg,2019-02-27_6.jpeg,0.67,0.94,0.57,0.79,0.74,0.67,0.94,0.57,0.79,0.74,0.23,0.28,0.22,0.26,0.25,0.23,0.28,0.22,0.26,0.25,0.92,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.64,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.96,0.97,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
199,20018,2019-02-27_6.jpeg,2019-03-27_7.jpeg,0.67,0.94,0.57,0.79,0.74,0.67,0.94,0.57,0.79,0.74,0.23,0.28,0.22,0.26,0.25,0.23,0.28,0.22,0.26,0.25,0.92,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.64,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.97,0.96,0.97,0.96,0.97,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
200,20018,2019-03-27_7.jpeg,2019-04-27_8.jpeg,0.67,0.94,0.57,0.79,0.74,1.19,1.47,1.16,1.42,1.31,0.23,0.28,0.22,0.26,0.25,0.43,0.47,0.41,0.44,0.44,0.92,0.91,0.92,0.91,0.91,0.84,0.84,0.85,0.84,0.84,0.64,0.63,0.64,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.97,0.96,0.97,0.96,0.97,0.91,0.89,0.92,0.90,0.90,0.40,0.40,0.41,0.40,0.40,0.40,0.39,0.40,0.39,0.39,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
201,20018,2019-04-27_8.jpeg,2019-05-27_9.jpeg,1.19,1.47,1.16,1.42,1.31,1.19,1.47,1.16,1.42,1.31,0.43,0.47,0.41,0.44,0.44,0.43,0.47,0.41,0.44,0.44,0.84,0.84,0.85,0.84,0.84,0.84,0.84,0.85,0.84,0.84,0.63,0.62,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.91,0.89,0.92,0.90,0.90,0.91,0.89,0.92,0.90,0.90,0.40,0.39,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.00,1.00,7.00,5.00,5.00,5.00,1.00,N
202,20018,2019-05-27_9.jpeg,2019-06-27_10.jpeg,1.19,1.47,1.16,1.42,1.31,1.19,1.47,1.16,1.42,1.31,0.43,0.47,0.41,0.44,0.44,0.43,0.47,0.41,0.44,0.44,0.84,0.84,0.85,0.84,0.84,0.84,0.84,0.85,0.84,0.84,0.63,0.62,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.91,0.89,0.92,0.90,0.90,0.91,0.89,0.92,0.90,0.90,0.40,0.39,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.14,0.81,5.58,5.00,6.00,3.00,0.50,N
203,20018,2019-06-27_10.jpeg,2019-07-27_11.jpeg,1.19,1.47,1.16,1.42,1.31,1.19,1.47,1.16,1.42,1.31,0.43,0.47,0.41,0.44,0.44,0.43,0.47,0.41,0.44,0.44,0.84,0.84,0.85,0.84,0.84,0.84,0.84,0.85,0.84,0.84,0.63,0.62,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.91,0.89,0.92,0.90,0.90,0.91,0.89,0.92,0.90,0.90,0.40,0.39,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.39,0.00,1.00,7.00,6.00,6.00,6.00,1.00,N
204,20018,2019-07-27_11.jpeg,2019-08-27_12.jpeg,1.19,1.47,1.16,1.42,1.31,0.82,1.16,0.69,0.85,0.88,0.43,0.47,0.41,0.44,0.44,0.33,0.37,0.31,0.32,0.34,0.84,0.84,0.85,0.84,0.84,0.87,0.87,0.87,0.88,0.87,0.63,0.62,0.63,0.63,0.63,0.63,0.62,0.63,0.62,0.62,0.91,0.89,0.92,0.90,0.90,0.97,0.95,0.97,0.97,0.97,0.40,0.39,0.40,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.00,1.00,7.00,7.00,7.00,7.00,1.00,N
205,20018,2019-08-27_12.jpeg,2019-09-27_13.jpeg,0.82,1.16,0.69,0.85,0.88,0.82,1.16,0.69,0.85,0.88,0.33,0.37,0.31,0.32,0.34,0.33,0.37,0.31,0.32,0.34,0.87,0.87,0.87,0.88,0.87,0.87,0.87,0.87,0.88,0.87,0.63,0.62,0.63,0.62,0.62,0.63,0.62,0.63,0.62,0.62,0.97,0.95,0.97,0.97,0.97,0.97,0.95,0.97,0.97,0.97,0.39,0.38,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.00,1.00,7.00,7.00,7.00,7.00,1.00,N
206,20021,2018-10-19_1.jpeg,2018-11-19_2.jpeg,0.96,1.61,1.21,1.70,1.37,0.96,1.61,1.21,1.70,1.37,0.48,0.62,0.52,0.65,0.57,0.48,0.62,0.52,0.65,0.57,0.80,0.77,0.79,0.76,0.78,0.80,0.77,0.79,0.76,0.78,0.38,0.36,0.37,0.36,0.37,0.38,0.36,0.37,0.36,0.37,0.96,0.93,0.95,0.93,0.94,0.96,0.93,0.95,0.93,0.94,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.00,1.00,7.00,7.00,7.00,7.00,1.00,N
207,20021,2018-11-19_2.jpeg,2018-12-19_3.jpeg,0.96,1.61,1.21,1.70,1.37,0.96,1.61,1.21,1.70,1.37,0.48,0.62,0.52,0.65,0.57,0.48,0.62,0.52,0.65,0.57,0.80,0.77,0.79,0.76,0.78,0.80,0.77,0.79,0.76,0.78,0.38,0.36,0.37,0.36,0.37,0.38,0.36,0.37,0.36,0.37,0.96,0.93,0.95,0.93,0.94,0.96,0.93,0.95,0.93,0.94,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.00,1.00,7.00,7.00,7.00,7.00,1.00,N
208,20021,2018-12-19_3.jpeg,2019-01-19_4.jpeg,0.96,1.61,1.21,1.70,1.37,0.96,1.61,1.21,1.70,1.37,0.48,0.62,0.52,0.65,0.57,0.48,0.62,0.52,0.65,0.57,0.80,0.77,0.79,0.76,0.78,0.80,0.77,0.79,0.76,0.78,0.38,0.36,0.37,0.36,0.37,0.38,0.36,0.37,0.36,0.37,0.96,0.93,0.95,0.93,0.94,0.96,0.93,0.95,0.93,0.94,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.00,1.00,7.00,7.00,7.00,7.00,1.00,N
209,20021,2019-01-19_4.jpeg,2019-02-19_5.jpeg,0.96,1.61,1.21,1.70,1.37,0.96,1.61,1.21,1.70,1.37,0.48,0.62,0.52,0.65,0.57,0.48,0.62,0.52,0.65,0.57,0.80,0.77,0.79,0.76,0.78,0.80,0.77,0.79,0.76,0.78,0.38,0.36,0.37,0.36,0.37,0.38,0.36,0.37,0.36,0.37,0.96,0.93,0.95,0.93,0.94,0.96,0.93,0.95,0.93,0.94,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.00,1.00,7.00,7.00,7.00,7.00,1.00,N
